platform,content_type,post_id,posted_at,reach,likes,comments,shares,saved,views,followers,caption
tiktok,video,TT032,2025-06-18 11:00:00,27500,2350,380,420,190,31200,1485,Tutorial series
instagram,reel,IG066,2025-06-18 16:00:00,12500,1000,106,80,96,14100,1535,Night routine
instagram,image,IG067,2025-06-19 09:30:00,4700,378,31,25,40,5150,1540,Brunch aesthetic
tiktok,video,TT033,2025-06-19 19:00:00,33500,2880,490,545,235,38000,1505,Trend mashup
instagram,video,IG068,2025-06-20 13:00:00,8200,642,67,52,74,9250,1545,GRWM video
instagram,reel,IG069,2025-06-20 17:30:00,16500,1350,158,118,135,18600,1550,Summer fashion
tiktok,video,TT034,2025-06-21 10:30:00,41000,3520,600,665,285,46500,1525,Mega viral
instagram,carousel,IG070,2025-06-21 15:00:00,9100,728,61,50,80,10100,1555,Tech review
instagram,story,IG071,2025-06-22 11:00:00,3200,175,9,6,14,3500,1560,Two truths one lie
tiktok,video,TT035,2025-06-22 20:30:00,23000,1960,315,350,168,26200,1545,Comedy gold
instagram,image,IG072,2025-06-23 14:30:00,5500,445,37,30,48,6050,1565,Minimal design
instagram,reel,IG073,2025-06-23 18:00:00,13500,1085,115,87,102,15300,1570,Quick recipe
tiktok,video,TT036,2025-06-24 12:00:00,30500,2620,435,480,210,34700,1565,Dance tutorial
instagram,video,IG074,2025-06-24 16:30:00,7600,595,62,48,68,8500,1575,Desk setup tour
instagram,carousel,IG075,2025-06-25 09:00:00,8200,656,55,45,71,9100,1580,Morning habits
tiktok,video,TT037,2025-06-25 19:00:00,28000,2400,390,430,195,31800,1585,Story reaction
instagram,image,IG076,2025-06-26 10:30:00,5150,415,34,28,44,5650,1590,Coffee morning
instagram,reel,IG077,2025-06-26 15:00:00,15200,1240,142,108,122,17200,1595,3 minute recipe
tiktok,video,TT038,2025-06-27 11:30:00,36500,3140,535,595,258,41400,1605,Trend compilation
instagram,story,IG078,2025-06-27 17:00:00,2950,162,8,5,13,3250,1610,Rate my setup
instagram,video,IG079,2025-06-28 12:00:00,8700,680,72,55,79,9800,1615,Daily vlog
tiktok,video,TT039,2025-06-28 20:00:00,25000,2140,345,385,178,28500,1625,Duet series
instagram,carousel,IG080,2025-06-29 09:30:00,9350,748,63,51,82,10350,1630,Weekly goals
instagram,reel,IG081,2025-06-29 14:30:00,14300,1160,125,94,110,16200,1635,Outfit ideas
tiktok,video,TT040,2025-06-30 10:00:00,32000,2750,465,515,225,36400,1645,New challenge
instagram,image,IG082,2025-06-30 16:00:00,4850,390,32,26,41,5300,1650,Nature walk
instagram,reel,IG083,2025-07-01 11:00:00,12900,1035,110,84,99,14600,1655,Budget tips
tiktok,video,TT041,2025-07-01 19:30:00,38500,3310,565,625,270,43700,1665,Viral moment 2
instagram,carousel,IG084,2025-07-02 13:30:00,7800,624,52,43,67,8650,1670,Self improvement
instagram,story,IG085,2025-07-02 18:00:00,3100,170,9,6,14,3400,1675,Guess the song
tiktok,video,TT042,2025-07-03 12:30:00,27000,2310,375,415,188,30800,1685,POV comedy 2
instagram,video,IG086,2025-07-03 17:00:00,8450,660,69,53,76,9500,1690,Home office tour
instagram,image,IG087,2025-07-04 09:00:00,5300,428,35,29,46,5800,1695,Holiday vibes
tiktok,video,TT043,2025-07-04 21:00:00,34500,2970,505,560,245,39200,1705,Dance challenge 2
instagram,reel,IG088,2025-07-05 14:00:00,16000,1305,152,114,132,18100,1710,Summer skincare
instagram,carousel,IG089,2025-07-05 18:30:00,8850,708,59,49,77,9800,1715,Reading list
tiktok,video,TT044,2025-07-06 11:00:00,29500,2530,415,460,208,33500,1725,Transition edit
instagram,image,IG090,2025-07-06 15:30:00,4950,398,33,27,43,5420,1730,Art photography
instagram,reel,IG091,2025-07-07 10:30:00,13700,1100,118,90,104,15500,1735,Healthy snacks
tiktok,video,TT045,2025-07-07 19:00:00,40500,3480,595,660,283,46000,1745,Trending content
instagram,story,IG092,2025-07-08 13:00:00,3250,178,9,6,15,3550,1750,Emoji guess
instagram,video,IG093,2025-07-08 17:30:00,9100,712,75,58,83,10300,1755,Closet organization
tiktok,video,TT046,2025-07-09 12:00:00,26500,2270,368,408,186,30200,1765,Life hack 2
instagram,carousel,IG094,2025-07-09 16:00:00,8100,648,54,44,70,9000,1770,Gym routine
instagram,reel,IG095,2025-07-10 09:30:00,15600,1275,148,112,128,17650,1775,Quick breakfast
tiktok,video,TT047,2025-07-10 20:30:00,31000,2660,445,495,218,35200,1785,Sound mashup
instagram,image,IG096,2025-07-11 14:00:00,5080,410,34,28,44,5560,1790,Cozy corner
instagram,reel,IG097,2025-07-11 18:00:00,14800,1200,138,105,120,16750,1795,Weekend plans
tiktok,video,TT048,2025-07-12 11:30:00,35000,3010,515,570,248,39800,1805,Mega trend
instagram,carousel,IG098,2025-07-12 15:00:00,9000,720,60,49,79,10000,1810,Desk essentials
instagram,story,IG099,2025-07-13 10:00:00,2880,158,8,5,12,3170,1815,Would you rather
tiktok,video,TT049,2025-07-13 19:30:00,24000,2055,332,370,172,27400,1825,Comedy finale
instagram,image,IG100,2025-07-14 13:00:00,5450,440,37,30,47,5980,1830,Perfect ending
